ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard,Date,Constant column,Random column
409,60,36,89,91745,2,2/80,,0,0,0,0,1,0,2023-06-03,100,0.7181385051542231
3738,44,19,30,91423,1,0/50,3.0,0,0,0,0,1,0,2023-06-22,100,0.31857255932153905
3890,26,0,19,93014,1,0/10,2.0,121,0,0,0,1,0,2023-08-18,100,0.5606733783948213
569,34,9,41,92101,2,0/10,1.0,161,0,0,0,1,1,2023-08-30,100,0.5846473892322581
1042,56,32,51,92780,4,1/50,1.0,0,0,0,0,0,0,2023-05-09,100,0.16896025665370018
1128,35,9,58,91101,1,2/50,1.0,0,0,0,0,1,1,2023-05-02,100,0.1900129985598632
3077,29,-1,62,92672,2,1/75,3.0,0,0,0,0,0,1,2023-06-04,100,0.9016421886168322
4617,66,41,114,92521,1,0/80,3.0,0,0,0,0,1,1,2023-08-23,100,0.7185855341010609
4989,34,8,85,95134,1,2/50,1.0,136,0,0,0,0,1,2023-05-28,100,0.19969097847121775
3578,39,9,32,91016,3,2/00,3.0,0,0,0,0,1,0,2023-06-29,100,0.2156289345474076
893,38,12,53,95616,2,2/40,2.0,0,0,0,0,1,0,2023-08-15,100,0.657688736464251
2259,59,33,93,91320,2,0/70,2.0,0,0,0,0,0,0,2023-07-15,100,0.17471497553104653
4500,53,26,22,91304,1,0/50,2.0,0,0,0,0,1,1,2023-07-12,100,0.3214263150289035
4065,63,39,50,94402,1,0/00,2.0,166,0,0,0,0,0,2023-08-09,100,0.03718970257119858
4997,30,4,15,92037,4,0/40,1.0,85,0,0,0,1,0,2023-07-19,100,0.31204564520365263
1225,59,35,45,94920,1,1/80,3.0,0,0,0,0,1,0,2023-05-21,100,0.862201991332453
3879,35,11,81,92064,2,0/00,1.0,0,0,0,0,1,1,2023-05-03,100,0.27945897069543046
3852,46,21,99,90277,2,3/80,,194,0,0,0,1,0,2023-07-28,100,0.4048698245435103
4697,59,35,70,92103,4,2/30,3.0,0,0,0,0,0,0,2023-05-07,100,0.28095553363884507
1743,64,38,42,95929,2,0/70,3.0,137,0,0,0,1,0,2023-08-21,100,0.9148771995158806
66,59,35,131,91360,1,3/80,1.0,0,0,0,0,1,1,2023-06-09,100,0.0055218263805483225
1977,39,13,80,95616,2,1/80,1.0,0,0,0,0,1,0,2023-05-07,100,0.48089382045480744
1850,50,26,42,90630,1,1/60,2.0,0,0,0,0,1,0,2023-06-28,100,0.8999293746590192
3172,39,12,62,91910,3,2/33,2.0,0,0,0,0,0,0,2023-05-07,100,0.9806210645839271
3425,44,19,45,94539,4,0/00,2.0,0,0,0,0,1,1,2023-07-24,100,0.6916289900457191
3597,44,20,88,94720,1,4/70,1.0,0,0,0,0,0,0,2023-05-02,100,0.8585815977349637
4525,48,24,79,94542,3,0/70,1.0,0,0,0,0,1,1,2023-07-09,100,0.9483674116486722
1674,29,5,81,94115,2,2/50,1.0,0,0,0,0,0,1,2023-06-14,100,0.9670741488257191
4250,37,12,63,91942,4,2/10,3.0,0,0,0,0,1,0,2023-07-08,100,0.04166553319506128
4235,50,24,91,93555,1,0/80,3.0,0,0,0,0,1,0,2023-05-04,100,0.5873931525784698
61,49,24,39,90404,3,1/70,2.0,0,0,1,0,1,0,2023-06-04,100,0.12513270878467697
308,42,18,33,90401,1,1/40,3.0,0,0,0,0,1,0,2023-05-28,100,0.024520980532179326
599,56,31,11,92374,2,0/20,3.0,90,0,0,0,0,0,2023-06-09,100,0.8847650564827308
2915,42,18,42,95929,2,1/70,1.0,0,0,0,0,1,0,2023-06-13,100,0.34720977444629864
57,55,30,29,94005,3,0/10,2.0,0,0,1,1,1,0,2023-06-25,100,0.0876731840701862
749,41,17,14,91330,1,1/00,1.0,0,0,0,0,0,0,2023-08-27,100,0.03203125311931021
1316,49,25,53,95134,2,1/00,3.0,181,0,0,0,0,0,2023-08-23,100,0.12354052894685119
1681,62,36,44,92093,2,1/00,3.0,0,0,0,0,0,0,2023-08-25,100,0.0815198748893905
1806,51,26,15,92373,2,0/00,1.0,114,0,0,0,1,0,2023-05-31,100,0.6440206356369327
3078,46,21,44,95112,1,0/30,1.0,110,0,1,0,1,0,2023-08-04,100,0.983497827724004
1134,31,4,28,94126,1,2/00,2.0,0,0,0,0,0,0,2023-07-22,100,0.47376194638050917
2069,61,37,13,90024,2,0/30,3.0,0,0,0,0,1,0,2023-08-06,100,0.8284866174438277
2496,46,22,70,94701,4,1/90,1.0,212,0,0,0,0,1,2023-05-09,100,0.5177271679961216
1740,33,7,83,95211,1,2/50,1.0,0,0,1,1,1,1,2023-08-24,100,0.1662469786114117
1146,32,6,99,92101,2,1/50,3.0,0,0,0,0,0,1,2023-05-19,100,0.6121016134942313
4726,34,8,75,95814,2,1/80,1.0,0,0,0,0,0,0,2023-05-02,100,0.188094644598647
1399,42,18,141,93407,1,3/50,1.0,0,0,0,0,0,0,2023-05-21,100,0.8587875050044208
1488,28,4,159,93907,1,1/50,1.0,0,0,0,0,1,1,2023-07-24,100,0.9006612612172368
4799,44,20,62,91604,3,0/30,3.0,0,0,0,0,0,1,2023-05-16,100,0.6133502649241094
4027,27,1,142,92038,3,5/50,1.0,0,1,0,0,0,0,2023-07-02,100,0.9952619064923848
1782,52,26,19,90650,2,0/70,2.0,0,0,0,0,0,1,2023-07-23,100,0.3220533609252434
3964,58,32,38,93106,3,2/20,3.0,0,0,0,0,1,0,2023-07-31,100,0.9269704264762789
23,29,5,62,90277,1,1/20,1.0,260,0,0,0,1,0,2023-05-08,100,0.05292492857137321
4751,66,41,38,95134,1,1/10,3.0,0,0,0,0,0,1,2023-07-01,100,0.20804555338376252
3230,33,9,64,92507,4,3/40,1.0,0,0,0,0,0,0,2023-06-30,100,0.5702882401146183
2495,35,9,63,92697,2,1/80,1.0,0,0,0,0,1,0,2023-05-18,100,0.5197865385648363
2082,52,27,45,95006,1,1/30,2.0,0,0,0,0,0,0,2023-06-07,100,0.20192977857696615
4305,64,39,98,95678,3,1/80,2.0,80,0,0,0,1,0,2023-05-04,100,0.06498352265287288
2882,49,25,55,92103,4,0/10,3.0,0,0,0,0,1,0,2023-08-25,100,0.5397671243083968
2704,51,27,71,92521,1,2/60,2.0,0,0,0,0,0,1,2023-07-27,100,0.07603098361044214
2797,57,32,30,94024,2,2/00,2.0,0,0,0,0,0,0,2023-07-14,100,0.9854185757110119
2559,43,19,172,95136,2,6/67,1.0,0,0,0,0,1,0,2023-05-10,100,0.4993240299308448
2197,51,24,189,95211,4,4/75,2.0,0,1,0,0,1,0,2023-07-23,100,0.9656291586660614
91,55,30,118,90277,4,5/60,2.0,0,1,0,0,1,0,2023-08-26,100,0.5168165918500466
1683,51,26,14,92182,2,0/00,1.0,103,0,0,0,1,0,2023-05-25,100,0.7033105568896424
2879,45,19,122,94590,4,4/10,2.0,0,1,0,0,1,0,2023-07-09,100,0.058552526723469445
4256,59,35,78,90095,2,2/80,1.0,0,0,0,0,1,0,2023-05-22,100,0.30544312599199563
1106,35,10,182,95051,1,0/30,2.0,229,1,0,1,1,1,2023-07-06,100,0.2914714966446177
964,39,14,24,94305,2,0/30,2.0,0,0,0,0,0,0,2023-08-27,100,0.3909736250170385
1015,50,26,192,90245,2,1/80,3.0,301,1,0,1,1,1,2023-08-27,100,0.8597976958189918
1921,54,28,31,92130,2,0/40,3.0,0,0,0,0,0,0,2023-06-03,100,0.664390819058835
3461,63,37,84,92691,4,2/40,3.0,0,0,0,0,1,1,2023-06-21,100,0.5924993567115946
236,38,8,71,94720,4,1/80,3.0,0,0,0,0,1,0,2023-08-16,100,0.49631950403501857
152,26,0,132,92834,3,6/50,3.0,0,1,0,0,0,1,2023-05-09,100,0.9916434436649945
4038,52,28,72,91335,1,0/00,1.0,178,0,0,0,0,0,2023-07-30,100,0.9773301304496662
3337,60,34,11,94305,4,0/70,3.0,0,0,0,0,1,0,2023-08-25,100,0.2741573834856933
1685,60,34,83,94028,2,2/00,1.0,249,0,0,0,0,0,2023-08-16,100,0.8350193900548105
2461,31,5,32,92123,2,0/30,2.0,130,0,0,0,1,0,2023-08-30,100,0.3862370550516644
2375,32,5,41,92008,2,1/00,2.0,112,0,1,0,1,0,2023-08-21,100,0.3986656393131438
2732,29,5,28,96651,1,0/20,3.0,0,0,0,0,1,0,2023-07-12,100,0.21283594151877006
3442,64,40,18,94309,2,0/30,3.0,0,0,1,1,1,1,2023-05-15,100,0.8800756828013471
2357,31,5,184,92064,4,3/40,2.0,0,1,0,1,1,1,2023-07-16,100,0.45252221572514273
1856,65,39,30,94304,3,0/70,2.0,0,0,0,0,1,1,2023-05-14,100,0.601153995053898
2304,47,21,89,94720,2,0/80,3.0,0,0,0,0,1,1,2023-05-11,100,0.13741924695476704
2139,36,11,40,93611,2,1/10,2.0,166,0,1,0,0,0,2023-06-08,100,0.5799156185843368
122,52,26,38,91711,3,0/90,3.0,0,0,0,0,1,0,2023-05-02,100,0.177523587819733
3462,57,27,64,92007,3,2/00,3.0,142,0,0,0,1,0,2023-06-28,100,0.2827720401916136
4169,60,34,139,95020,4,0/40,1.0,0,1,0,0,1,0,2023-05-19,100,0.21980217661978296
2103,25,-1,81,92647,2,1/60,3.0,0,0,0,0,1,1,2023-07-16,100,0.1673388930004659
1099,46,20,114,90720,1,0/00,1.0,0,0,0,0,1,1,2023-05-05,100,0.4134485004877231
1841,55,25,23,93106,4,0/40,3.0,88,0,0,0,0,0,2023-06-18,100,0.8299127347090639
1826,56,32,161,94720,1,5/80,3.0,0,1,1,0,0,0,2023-05-30,100,0.7981118912943508
201,32,6,29,91355,1,1/90,3.0,0,0,0,0,1,1,2023-06-18,100,0.43254239549319096
2886,57,31,113,91711,4,0/60,3.0,327,1,0,0,1,0,2023-06-01,100,0.04986496910078797
